"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durSchoolSite","durSchoolOnline","durStudy","mainStudent","mainJobSearch","mainEmployed","mainWorked12m","mainWorkedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone"
10278,6,2,"married",12,"rural",1,4,5,525,15,95,605,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10291,1,1,"neverMarried",35,"urban",2,4,3,450,0,40,1105,0,0,220,0,30,1,2,2,2,2,1,1,2,2,NA,1
10299,6,2,"widowed",24,"urban",1,6,2,540,90,20,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
10300,5,2,"neverMarried",12,"urban",7,5,6,480,30,250,1090,200,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2
10302,6,1,"married",13,"rural",1,6,6,510,0,135,105,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10317,1,2,"neverMarried",48,"urban",6,4,3,600,25,30,710,0,420,0,0,0,NA,NA,NA,1,1,NA,5,2,1,2,2
10320,5,2,"married",48,"urban",4,4,3,980,0,220,300,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10321,6,1,"married",24,"urban",2,6,6,540,0,45,760,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10323,6,1,"divorced",24,"urban",2,6,6,630,0,30,1170,60,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10324,6,1,"divorced",13,"urban",1,6,6,420,0,150,1290,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10327,6,2,"married",35,"urban",4,6,6,735,145,45,1155,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10328,6,2,"married",35,"urban",4,6,1,500,120,0,1215,40,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
10329,5,2,"married",13,"urban",4,6,3,600,0,50,30,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10330,3,2,"separated",24,"urban",6,6,6,510,170,120,940,40,290,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10333,6,1,"commonLaw",13,"urban",3,6,6,480,0,280,590,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10339,5,1,"married",24,"urban",7,4,4,480,135,0,240,30,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10347,5,2,"married",11,"pei",3,6,6,460,0,220,460,20,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10349,5,1,"married",35,"urban",4,4,4,410,20,105,620,30,290,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10351,4,2,"commonLaw",24,"rural",6,6,6,510,0,360,135,25,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2
10360,4,1,"married",35,"urban",2,4,6,340,0,75,440,30,720,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2
10361,5,2,"married",24,"urban",4,6,6,450,110,135,0,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10363,5,1,"married",35,"urban",4,6,6,390,30,190,720,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10365,6,2,"divorced",48,"urban",3,6,1,600,10,140,1440,0,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,2
10369,5,2,"widowed",24,"rural",2,4,4,515,30,135,585,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10373,6,1,"widowed",35,"urban",7,6,6,495,45,120,1380,0,0,0,0,0,NA,2,1,1,2,2,1,2,2,2,2
10378,6,1,"widowed",24,"urban",6,6,6,500,30,180,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10379,5,2,"married",35,"urban",NA,5,5,700,65,145,420,0,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
10393,5,1,"neverMarried",10,"rural",1,6,6,270,50,20,200,0,540,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2
10397,6,2,"commonLaw",35,"urban",4,6,4,540,25,60,1005,0,0,0,0,0,NA,2,2,2,2,NA,3,2,2,2,1
10403,7,1,"divorced",11,"pei",2,6,6,600,30,125,1305,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2
10407,6,2,"separated",48,"urban",4,4,3,565,150,150,1205,75,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10409,6,1,"divorced",24,"urban",1,6,1,570,0,135,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10416,7,2,"married",35,"urban",1,6,2,1005,0,105,480,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,1
10421,7,2,"married",48,"urban",7,4,5,480,35,55,95,75,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10423,5,1,"married",13,"rural",2,6,6,670,105,45,435,0,15,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10426,7,2,"widowed",35,"urban",1,6,6,480,0,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10429,3,1,"married",35,"urban",4,6,6,210,0,15,345,0,885,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2
10432,6,1,"married",13,"urban",4,6,4,540,0,45,75,240,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10448,6,1,"neverMarried",10,"urban",1,6,3,570,30,0,1440,50,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
10450,4,2,"married",35,"urban",2,6,6,570,0,0,55,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10451,1,1,"neverMarried",35,"urban",2,5,6,480,10,30,1245,0,0,0,0,415,1,NA,1,1,2,1,3,2,2,2,2
