"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
22143,6,2,3,11,3,4,2,6,265,0,190,970,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,"PEI","Widowed","College, CEGEP, or other non-university certificate or dimploma",1
22144,5,2,3,59,1,7,3,6,480,30,25,740,60,525,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"BC","Widowed","University certificate, diploma, degree above the BA level",1
22145,2,2,2,48,2,6,1,6,0,0,0,145,165,770,0,0,0,NA,NA,NA,1,1,2,7,2,1,1,2,"AB","Living common-law","Bachelor's degree",1
22146,7,2,3,59,1,4,2,3,450,0,45,370,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"BC","Widowed","College, CEGEP, or other non-university certificate or dimploma",1
22147,5,2,1,11,3,7,1,6,445,30,60,90,40,530,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2,"PEI","Married","University certificate, diploma, degree above the BA level",1
22148,2,2,6,59,1,6,2,5,360,30,0,870,140,420,0,0,0,NA,NA,NA,1,1,NA,2,2,1,2,2,"BC","Single, never married","Bachelor's degree",1
22149,2,2,6,35,1,4,1,2,580,0,60,960,20,480,0,0,0,NA,NA,NA,1,1,NA,6,1,1,1,2,"ON","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
22150,3,2,6,35,1,4,1,3,410,0,90,485,65,0,0,0,0,NA,1,2,2,2,NA,7,2,2,2,2,"ON","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
22151,2,1,2,24,1,2,4,6,630,50,30,150,95,355,0,0,0,NA,NA,NA,1,1,NA,1,NA,1,2,2,"QC","Living common-law","High school diploma or equivalency",0
22152,1,2,6,11,3,1,2,4,750,0,0,0,0,0,0,0,0,1,2,2,2,2,1,7,2,2,2,2,"PEI","Single, never married","Less than high school dimploma or its equivalent",1
22153,3,2,2,48,1,5,1,6,125,75,90,140,40,0,0,0,0,NA,NA,1,1,2,NA,3,2,2,2,1,"AB","Living common-law","University certificate or dimploma below the bachelor's level",1
22154,2,1,2,35,1,2,2,4,470,30,110,250,120,450,0,0,0,NA,NA,NA,1,1,NA,4,2,2,2,2,"ON","Living common-law","High school diploma or equivalency",1
22155,6,1,1,35,2,2,6,NA,690,60,120,20,0,0,0,0,0,NA,2,2,1,2,NA,8,2,2,2,2,"ON","Married","High school diploma or equivalency",0
